epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,498.741,1.13631,0.71258,1.29792,0.8316,0.86576,0.89876,0.43602,1.92595,1.05515,2.03032,0.000531038,0.000531038,0.000531038
86,504.579,1.1228,0.67335,1.2599,0.85409,0.86678,0.86863,0.46587,1.91398,0.96382,2.02181,0.000526538,0.000526538,0.000526538
87,510.502,1.09075,0.68563,1.27097,0.85229,0.86574,0.89682,0.45158,1.88372,0.92953,2.08357,0.000522039,0.000522039,0.000522039
88,515.917,1.13606,0.71312,1.27681,0.81831,0.88401,0.88834,0.46135,1.90319,0.8846,2.12882,0.000517539,0.000517539,0.000517539
89,522.182,1.09948,0.68959,1.22648,0.91182,0.91963,0.92427,0.44281,1.92637,0.87558,2.09729,0.00051304,0.00051304,0.00051304
90,527.65,1.08218,0.6618,1.25696,0.84634,0.88734,0.88643,0.45252,1.91181,0.92734,2.05515,0.00050854,0.00050854,0.00050854
91,533.969,1.06867,0.67687,1.2169,0.83165,0.85238,0.86851,0.43645,1.95135,0.97749,2.03596,0.00050404,0.00050404,0.00050404
92,539.454,1.0523,0.64976,1.2196,0.78087,0.7848,0.82252,0.42804,2.01171,1.32482,2.08327,0.000499541,0.000499541,0.000499541
93,545.757,1.10715,0.68307,1.2433,0.82741,0.81856,0.84331,0.43651,1.96175,1.08186,2.10398,0.000495041,0.000495041,0.000495041
94,551.289,1.03055,0.63781,1.19479,0.87445,0.80476,0.86622,0.44981,1.92557,0.96537,2.08619,0.000490542,0.000490542,0.000490542
95,557.191,1.04205,0.64706,1.18634,0.89759,0.85238,0.86262,0.46017,1.95371,0.96403,2.09943,0.000486042,0.000486042,0.000486042
96,562.999,1.00588,0.61568,1.22302,0.89345,0.84341,0.837,0.43773,1.9451,1.0028,2.14139,0.000481543,0.000481543,0.000481543
97,568.342,1.01371,0.67578,1.20678,0.883,0.82834,0.83893,0.43229,1.88769,1.02179,2.12863,0.000477043,0.000477043,0.000477043
98,574.542,1.05296,0.65381,1.20505,0.85921,0.82386,0.83281,0.43023,1.85873,0.97745,2.08162,0.000472544,0.000472544,0.000472544
99,579.871,1.01938,0.68121,1.2171,0.81885,0.85238,0.84012,0.44932,1.87295,1.01796,2.0337,0.000468044,0.000468044,0.000468044
100,586.184,1.05333,0.69248,1.20871,0.86371,0.81011,0.82541,0.44372,1.89768,1.03296,2.04992,0.000463545,0.000463545,0.000463545
101,591.554,1.02368,0.63783,1.16498,0.85466,0.84989,0.84048,0.4247,1.99416,0.9722,2.18577,0.000459045,0.000459045,0.000459045
102,597.784,1.00186,0.64842,1.19643,0.86563,0.88055,0.88634,0.41558,2.03261,0.98046,2.23366,0.000454545,0.000454545,0.000454545
103,603.31,0.99922,0.61759,1.18954,0.83975,0.85797,0.88579,0.43175,1.94667,0.97035,2.14072,0.000450046,0.000450046,0.000450046
104,609.131,1.0507,0.64121,1.18958,0.84212,0.83161,0.8725,0.45078,1.95423,0.99154,2.13128,0.000445546,0.000445546,0.000445546
105,615.164,0.95265,0.60106,1.15172,0.86662,0.82857,0.8424,0.42681,1.85908,1.02583,2.03966,0.000441047,0.000441047,0.000441047
106,620.65,1.04147,0.67164,1.20139,0.83355,0.82857,0.84202,0.44005,1.86993,1.02095,2.08888,0.000436547,0.000436547,0.000436547
107,626.684,0.98891,0.63793,1.18993,0.80673,0.83333,0.87666,0.44285,1.93583,0.99452,2.16627,0.000432048,0.000432048,0.000432048
108,632.006,1.00765,0.5876,1.19666,0.92183,0.83333,0.86811,0.42846,2.00538,1.10571,2.26345,0.000427548,0.000427548,0.000427548
109,638.138,1.00667,0.62095,1.19575,0.76552,0.87619,0.85814,0.43814,1.97397,1.12524,2.1819,0.000423049,0.000423049,0.000423049
110,643.632,0.95774,0.60346,1.16005,0.81462,0.88774,0.88093,0.46458,1.88225,1.0764,2.11465,0.000418549,0.000418549,0.000418549
111,649.757,1.01062,0.63385,1.21494,0.82621,0.83333,0.85923,0.46267,1.84304,1.09779,2.00765,0.000414049,0.000414049,0.000414049
112,655.176,0.96998,0.60399,1.16839,0.97533,0.80779,0.87659,0.44294,1.93345,1.19035,2.07111,0.00040955,0.00040955,0.00040955
113,660.985,1.01625,0.67894,1.18761,0.84734,0.83376,0.87733,0.4349,1.93951,1.09267,2.14487,0.00040505,0.00040505,0.00040505
114,666.851,0.97413,0.60819,1.16667,0.88622,0.86443,0.89619,0.44573,1.86282,1.00535,2.05482,0.000400551,0.000400551,0.000400551
115,672.183,0.96197,0.64123,1.17898,0.8354,0.85562,0.87248,0.44265,1.8386,1.03356,2.03019,0.000396051,0.000396051,0.000396051
116,678.326,0.92982,0.62025,1.16776,0.86361,0.84444,0.86674,0.44535,1.88619,0.98438,2.10129,0.000391552,0.000391552,0.000391552
117,683.677,0.9428,0.58346,1.15059,0.88223,0.85249,0.87564,0.42937,1.9568,1.04088,2.16124,0.000387052,0.000387052,0.000387052
118,689.819,0.95494,0.61602,1.17723,0.90025,0.87374,0.88554,0.42962,1.98457,0.94594,2.24572,0.000382553,0.000382553,0.000382553
119,695.307,0.91807,0.57564,1.14613,0.8215,0.87332,0.86526,0.42354,1.95273,0.93368,2.21741,0.000378053,0.000378053,0.000378053
120,701.373,0.94863,0.578,1.14911,0.85228,0.83333,0.85318,0.42009,1.95965,1.03884,2.19322,0.000373554,0.000373554,0.000373554
121,706.82,0.9408,0.60475,1.17863,0.85281,0.85714,0.86423,0.43293,1.90774,1.04985,2.13205,0.000369054,0.000369054,0.000369054
122,712.691,0.95055,0.61018,1.16845,0.84349,0.88095,0.88227,0.43908,1.94579,1.04646,2.16386,0.000364554,0.000364554,0.000364554
123,718.578,0.87116,0.54927,1.10506,0.92039,0.84514,0.89239,0.45575,1.89771,0.9769,2.10542,0.000360055,0.000360055,0.000360055
124,724.053,0.92304,0.57556,1.136,0.86157,0.89586,0.89363,0.46853,1.88652,0.9982,2.11522,0.000355555,0.000355555,0.000355555
125,730.247,0.87798,0.56201,1.12686,0.84336,0.9086,0.89926,0.47218,1.84108,0.99109,2.06654,0.000351056,0.000351056,0.000351056
126,735.573,0.87509,0.55101,1.1277,0.85583,0.86266,0.89107,0.4817,1.84733,1.03048,2.10963,0.000346556,0.000346556,0.000346556
127,741.742,0.89554,0.57413,1.13663,0.81334,0.83283,0.87177,0.4564,1.89692,1.08346,2.15266,0.000342057,0.000342057,0.000342057
128,747.289,0.88381,0.57289,1.12561,0.8282,0.84868,0.84877,0.43666,1.89956,1.06367,2.1484,0.000337557,0.000337557,0.000337557
129,753.405,0.90216,0.60003,1.12974,0.90111,0.87932,0.87362,0.44946,1.84524,0.95906,2.06322,0.000333058,0.000333058,0.000333058
130,758.891,0.87128,0.55759,1.1126,0.90734,0.86649,0.88053,0.44547,1.9408,0.91757,2.14484,0.000328558,0.000328558,0.000328558
131,764.695,0.87126,0.54928,1.11015,0.90771,0.87524,0.88066,0.46062,1.90052,0.96222,2.14465,0.000324058,0.000324058,0.000324058
132,771.187,0.90707,0.57637,1.13981,0.92057,0.88016,0.88088,0.46847,1.85921,0.95719,2.12376,0.000319559,0.000319559,0.000319559
133,776.885,0.8345,0.51628,1.10055,0.91368,0.88748,0.89047,0.45933,1.83832,1.00509,2.11203,0.000315059,0.000315059,0.000315059
134,782.839,0.89467,0.58381,1.13598,0.90445,0.90263,0.89352,0.45047,1.91573,1.02858,2.1482,0.00031056,0.00031056,0.00031056
135,788.192,0.83349,0.52305,1.08265,0.90478,0.89161,0.88689,0.43809,1.93756,1.01292,2.18921,0.00030606,0.00030606,0.00030606
136,794.384,0.8265,0.52424,1.0541,0.91457,0.90002,0.89599,0.47021,1.95583,0.94718,2.2151,0.000301561,0.000301561,0.000301561
137,799.743,0.83555,0.51087,1.0978,0.91864,0.90476,0.89462,0.46068,1.95337,1.0278,2.24583,0.000297061,0.000297061,0.000297061
138,805.958,0.86495,0.56483,1.09556,0.89183,0.88095,0.87333,0.47863,1.83868,1.03459,2.13031,0.000292562,0.000292562,0.000292562
139,811.373,0.80617,0.49818,1.08105,0.88074,0.87175,0.86576,0.47396,1.87474,1.10564,2.13167,0.000288062,0.000288062,0.000288062
140,817.512,0.81968,0.52746,1.07702,0.90618,0.85714,0.87354,0.45559,1.88351,1.03004,2.11498,0.000283563,0.000283563,0.000283563
141,823.176,0.84339,0.54078,1.08944,0.85984,0.82444,0.87256,0.46293,1.91032,1.00095,2.19893,0.000279063,0.000279063,0.000279063
142,828.807,0.83532,0.53221,1.08983,0.86987,0.85012,0.88163,0.45459,1.90752,0.97443,2.20299,0.000274563,0.000274563,0.000274563
143,834.835,0.83071,0.51873,1.10959,0.86893,0.82922,0.88333,0.45573,1.91554,1.05197,2.18406,0.000270064,0.000270064,0.000270064
144,840.269,0.80579,0.53248,1.08223,0.86688,0.89571,0.88006,0.44502,1.93058,1.05471,2.20543,0.000265564,0.000265564,0.000265564
145,846.546,0.77857,0.50948,1.04634,0.84636,0.84724,0.86298,0.47369,1.89173,1.01711,2.21494,0.000261065,0.000261065,0.000261065
146,852.08,0.81489,0.49889,1.07631,0.89216,0.89317,0.90471,0.46115,1.91391,0.92229,2.25368,0.000256565,0.000256565,0.000256565
147,858.319,0.8174,0.54149,1.08433,0.82364,0.92136,0.8928,0.46985,1.93724,0.86129,2.28089,0.000252066,0.000252066,0.000252066
148,863.899,0.81752,0.52857,1.0567,0.90687,0.91837,0.91066,0.47521,1.90334,0.84418,2.23506,0.000247566,0.000247566,0.000247566
149,870.172,0.78882,0.50357,1.07341,0.91392,0.91827,0.91421,0.47807,1.85589,0.80221,2.20669,0.000243067,0.000243067,0.000243067
150,875.797,0.80715,0.52727,1.10125,0.89606,0.89089,0.91136,0.48354,1.86814,0.8691,2.19659,0.000238567,0.000238567,0.000238567
151,881.422,0.80602,0.52344,1.05093,0.93799,0.89841,0.92152,0.47439,1.94187,0.85744,2.27275,0.000234068,0.000234068,0.000234068
152,887.397,0.81886,0.52605,1.09092,0.85916,0.85238,0.87273,0.47145,1.92771,0.8575,2.24976,0.000229568,0.000229568,0.000229568
